連番,代表字形,別字形1,,別字形2,,別字形3,,別字形4,,別字形5,,別字形6,
3062,6ADF,J,680E,C,6AAA,J,,,,,,,,
3063,6AE5,T,6A71,C,,,,,,,,,,
3064,6AE7,J,69E0,C,,,,,,,,,,
3065,6AE8,J,67A6,J,680C,C,,,,,,,,
3066,6AEA,J,67A5,C,,,,,,,,,,
3067,6AEC,J,6987,C,,,,,,,,,,
3068,6AF3,T,680A,C,,,,,,,,,,
3069,6AF6,KU,,,,,,,,,,,,
3070,6AF8,T,6B05,J,6989,C,,,,,,,,
3071,6AFA,J,68C2,C,6B1E,J,,,,,,,,
3072,6AFB,J,6A31,C,685C,J,,,,,,,,
3073,6B04,T,6B04,J,680F,C,,,,,,,,
3074,6B0A,J,6A29,J,6743,C,,,,,,,,
3075,6B0C,KU,,,,,,,,,,,,
3076,6B12,J,683E,C,,,,,,,,,,
3077,6B16,J,6984,C,,,,,,,,,,
3078,6B1F,JU,,,,,,,,,,,,
3079,6B21,T,6B21,J,,,,,,,,,,
3080,6B23,J,,,,,,,,,,,,
3081,6B32,J,,,,,,,,,,,,
3082,6B37,J,,,,,,,,,,,,
3083,6B38,J,,,,,,,,,,,,
3084,6B39,J,,,,,,,,,,,,
3085,6B3A,J,,,,,,,,,,,,
3086,6B3D,J,94A6,C,,,,,,,,,,
3087,6B3E,J,6B35,J,,,,,,,,,,
3088,6B43,J,,,,,,,,,,,,
3089,6B46,J,,,,,,,,,,,,
3090,6B47,J,,,,,,,,,,,,
3091,6B49,J,6B49,C,,,,,,,,,,
3092,6B4C,J,8B0C,J,,,,,,,,,,
3093,6B4E,T,6B4E,J,,,,,,,,,,
3094,6B50,J,6B27,J,,,,,,,,,,
3095,6B54,JU,,,,,,,,,,,,
3096,6B59,J,6B59,C,,,,,,,,,,
3097,6B5B,J,,,,,,,,,,,,
3098,6B5C,TU,,,,,,,,,,,,
3099,6B5F,J,6B24,C,,,,,,,,,,
3100,6B61,T,6B61,J,6B53,J,6B22,C,,,,,,
3101,6B62,J,,,,,,,,,,,,
3102,6B63,J,,,,,,,,,,,,
3103,6B64,J,,,,,,,,,,,,
3104,6B65,C,6B69,J,,,,,,,,,,
3105,6B66,J,,,,,,,,,,,,
3106,6B67,J,,,,,,,,,,,,
3107,6B6A,J,,,,,,,,,,,,
3108,6B72,T,6B73,J,5C81,C,,,,,,,,
3109,6B77,T,6B74,J,5386,C,,,,,,,,
3110,6B78,J,5F52,C,5E30,J,,,,,,,,
3111,6B79,J,6B7A,T,,,,,,,,,,
3112,6B7B,J,,,,,,,,,,,,
3113,6B7F,J,6B7E,J,6B81,C,,,,,,,,
3114,6B80,J,,,,,,,,,,,,
3115,6B82,J,,,,,,,,,,,,
3116,6B83,J,,,,,,,,,,,,
3117,6B84,J,,,,,,,,,,,,
3118,6B86,J,,,,,,,,,,,,
3119,6B89,J,,,,,,,,,,,,
3120,6B8A,J,,,,,,,,,,,,
3121,6B8D,J,6B8D,C,,,,,,,,,,
3122,6B96,J,6B96,C,,,,,,,,,,
3123,6B98,J,6B8B,J,6B8B,C,,,,,,,,
3124,6B9B,J,,,,,,,,,,,,
3125,6B9E,J,6B92,C,,,,,,,,,,
3126,6BA4,J,6B87,C,,,,,,,,,,
3127,6BAA,J,,,,,,,,,,,,
3128,6BAB,J,6B9A,C,,,,,,,,,,
3129,6BAE,J,6B93,C,,,,,,,,,,
3130,6BAF,J,6BA1,C,,,,,,,,,,
3131,6BB2,J,6B7C,C,6BB1,J,,,,,,,,
3132,6BB3,J,,,,,,,,,,,,
3133,6BB5,J,,,,,,,,,,,,
3134,6BB7,J,,,,,,,,,,,,
3135,6BBA,T,6BBA,J,6740,C,,,,,,,,
3136,6BBC,J,6BBB,J,58F3,C,,,,,,,,
3137,6BBF,J,,,,,,,,,,,,
3138,6BC0,J,6BC1,C,,,,,,,,,,
3139,6BC5,J,,,,,,,,,,,,
3140,6BC6,J,6BB4,J,,,,,,,,,,
3141,6BCB,J,6BCB,C,,,,,,,,,,
3142,6BCD,J,,,,,,,,,,,,
3143,6BCF,C,6BCE,J,,,,,,,,,,
3144,6BD2,J,6BD2,C,,,,,,,,,,
3145,6BD4,J,6BD4,C,,,,,,,,,,
3146,6BD6,J,6BD6,C,,,,,,,,,,
3147,6BD8,J,6BD8,K,6BD7,C,,,,,,,,
3148,6BDA,J,,,,,,,,,,,,
3149,6BDB,J,,,,,,,,,,,,
3150,6BDF,JU,,,,,,,,,,,,
3151,6BEA,CU,,,,,,,,,,,,
3152,6BEB,J,,,,,,,,,,,,
3153,6BEC,J,,,,,,,,,,,,
3154,6BEF,J,,,,,,,,,,,,
3155,6BF3,J,,,,,,,,,,,,
3156,6BF9,J,6BF9,C,,,,,,,,,,
3157,6BFD,C,,,,,,,,,,,,
3158,6BFF,J,6BF5,C,,,,,,,,,,
3159,6C02,J,7266,C,,,,,,,,,,
3160,6C05,J,,,,,,,,,,,,
3161,6C06,CU,,,,,,,,,,,,
3162,6C07,CU,6C0C,C,,,,,,,,,,
3163,6C08,J,6C0A,T,6BE1,J,,,,,,,,
3164,6C0D,CU,,,,,,,,,,,,
3165,6C0F,J,6C0F,C,,,,,,,,,,
3166,6C10,J,6C10,C,,,,,,,,,,
3167,6C11,J,,,,,,,,,,,,
3168,6C13,J,,,,,,,,,,,,
3169,6C15,CU,,,,,,,,,,,,
3170,6C16,C,,,,,,,,,,,,
3171,6C18,CU,,,,,,,,,,,,
3172,6C19,CU,,,,,,,,,,,,
3173,6C1A,CU,,,,,,,,,,,,
3174,6C1B,J,,,,,,,,,,,,
3175,6C1F,C,,,,,,,,,,,,
3176,6C21,CU,,,,,,,,,,,,
3177,6C23,J,6C17,J,6C14,C,,,,,,,,
3178,6C24,J,,,,,,,,,,,,
3179,6C26,C,,,,,,,,,,,,
3180,6C27,C,,,,,,,,,,,,
3181,6C28,C,,,,,,,,,,,,
3182,6C2A,CU,,,,,,,,,,,,
3183,6C2B,T,6C22,C,,,,,,,,,,
3184,6C2C,T,6C29,C,,,,,,,,,,
3185,6C2E,C,,,,,,,,,,,,
3186,6C2F,T,6C2F,C,,,,,,,,,,
3187,6C30,CU,,,,,,,,,,,,
3188,6C33,J,6C32,C,,,,,,,,,,
3189,6C34,J,,,,,,,,,,,,
3190,6C35,J,,,,,,,,,,,,
3191,6C38,J,,,,,,,,,,,,
3192,6C3D,CU,,,,,,,,,,,,
3193,6C3E,J,,,,,,,,,,,,
3194,6C40,J,,,,,,,,,,,,
3195,6C41,J,,,,,,,,,,,,
3196,6C42,J,,,,,,,,,,,,
3197,6C46,CU,,,,,,,,,,,,
3198,6C4A,CU,,,,,,,,,,,,
3199,6C4D,TU,,,,,,,,,,,,
3200,6C4E,J,,,,,,,,,,,,
3201,6C50,J,,,,,,,,,,,,
3202,6C54,J,,,,,,,,,,,,
3203,6C55,J,,,,,,,,,,,,
3204,6C57,J,,,,,,,,,,,,
3205,6C5A,J,6C59,J,6C61,C,,,,,,,,
3206,6C5B,C,,,,,,,,,,,,
3207,6C5C,J,,,,,,,,,,,,
3208,6C5D,J,,,,,,,,,,,,
3209,6C5E,J,,,,,,,,,,,,
3210,6C5F,J,,,,,,,,,,,,
3211,6C60,J,,,,,,,,,,,,
3212,6C62,JU,,,,,,,,,,,,
3213,6C68,J,,,,,,,,,,,,
3214,6C69,CU,,,,,,,,,,,,
3215,6C6A,J,,,,,,,,,,,,
3216,6C6D,J,,,,,,,,,,,,
3217,6C70,J,,,,,,,,,,,,
3218,6C72,T,6C72,J,,,,,,,,,,
3219,6C74,J,6C73,J,,,,,,,,,,
3220,6C76,J,,,,,,,,,,,,
3221,6C79,CU,,,,,,,,,,,,
3222,6C7A,J,51B3,J,,,,,,,,,,
3223,6C7D,J,,,,,,,,,,,,
3224,6C7E,J,,,,,,,,,,,,
3225,6C81,J,,,,,,,,,,,,
3226,6C82,J,,,,,,,,,,,,
3227,6C83,J,,,,,,,,,,,,
3228,6C85,J,,,,,,,,,,,,
3229,6C86,J,,,,,,,,,,,,
3230,6C87,J,,,,,,,,,,,,
3231,6C88,J,6C89,C,6C89,T,,,,,,,,
3232,6C8C,J,,,,,,,,,,,,
3233,6C8D,J,51B1,C,,,,,,,,,,
3234,6C8F,CU,,,,,,,,,,,,
3235,6C90,J,,,,,,,,,,,,
3236,6C92,J,6CA1,J,,,,,,,,,,
3237,6C93,J,,,,,,,,,,,,
3238,6C94,J,,,,,,,,,,,,
3239,6C95,J,,,,,,,,,,,,
3240,6C96,J,51B2,C,,,,,,,,,,
3241,6C98,TU,,,,,,,,,,,,
3242,6C99,J,,,,,,,,,,,,
3243,6C9A,J,,,,,,,,,,,,
3244,6C9B,J,,,,,,,,,,,,
3245,6CA3,CU,7043,C,,,,,,,,,,
3246,6CA9,CU,6F59,C,,,,,,,,,,
3247,6CAB,J,,,,,,,,,,,,
3248,6CAC,TU,,,,,,,,,,,,
3249,6CAD,CU,,,,,,,,,,,,
3250,6CAE,J,,,,,,,,,,,,
3251,6CB1,J,6CB2,J,,,,,,,,,,
3252,6CB3,J,,,,,,,,,,,,
3253,6CB8,J,,,,,,,,,,,,
3254,6CB9,J,,,,,,,,,,,,
3255,6CBB,J,,,,,,,,,,,,
3256,6CBC,J,,,,,,,,,,,,
3257,6CBD,J,,,,,,,,,,,,
3258,6CBE,J,,,,,,,,,,,,
3259,6CBF,J,6CBF,C,,,,,,,,,,
3260,6CC1,J,51B5,J,,,,,,,,,,
3261,6CC2,J,,,,,,,,,,,,
3262,6CC4,J,,,,,,,,,,,,
3263,6CC5,J,,,,,,,,,,,,
3264,6CC9,J,,,,,,,,,,,,
3265,6CCA,J,,,,,,,,,,,,
3266,6CCC,J,,,,,,,,,,,,
3267,6CD0,CU,,,,,,,,,,,,
3268,6CD3,J,,,,,,,,,,,,
3269,6CD4,J,,,,,,,,,,,,
3270,6CD5,J,,,,,,,,,,,,
3271,6CD6,C,,,,,,,,,,,,
3272,6CD7,J,,,,,,,,,,,,
3273,6CD9,J,,,,,,,,,,,,
3274,6CDB,J,,,,,,,,,,,,
3275,6CDC,TU,,,,,,,,,,,,
3276,6CDD,JU,,,,,,,,,,,,
3277,6CE0,J,6CE0,C,,,,,,,,,,
3278,6CE1,C,6CE1,J,,,,,,,,,,
3279,6CE2,J,,,,,,,,,,,,
3280,6CE3,J,,,,,,,,,,,,
3281,6CE5,J,57FF,J,,,,,,,,,,
3282,6CE8,J,,,,,,,,,,,,
3283,6CEB,J,,,,,,,,,,,,
3284,6CEE,J,6CEE,C,,,,,,,,,,
3285,6CEF,J,,,,,,,,,,,,
3286,6CF0,J,,,,,,,,,,,,
3287,6CF1,J,,,,,,,,,,,,
3288,6CF3,J,,,,,,,,,,,,
3289,6CF5,C,,,,,,,,,,,,
3290,6CF6,CU,6FA9,C,,,,,,,,,,
3291,6CFA,CU,6FFC,C,,,,,,,,,,
3292,6D04,J,,,,,,,,,,,,
3293,6D0B,J,,,,,,,,,,,,
3294,6D0C,J,,,,,,,,,,,,
3295,6D0E,J,,,,,,,,,,,,
3296,6D11,J,,,,,,,,,,,,
3297,6D12,JU,,,,,,,,,,,,
3298,6D17,J,,,,,,,,,,,,
3299,6D19,J,,,,,,,,,,,,
3300,6D1A,C,,,,,,,,,,,,
3301,6D1B,J,,,,,,,,,,,,
3302,6D1E,J,,,,,,,,,,,,
3303,6D1F,J,,,,,,,,,,,,
3304,6D25,J,,,,,,,,,,,,
3305,6D27,J,,,,,,,,,,,,
3306,6D29,J,,,,,,,,,,,,
3307,6D2A,J,,,,,,,,,,,,
3308,6D2B,J,,,,,,,,,,,,
3309,6D2E,J,,,,,,,,,,,,
3310,6D31,T,,,,,,,,,,,,
3311,6D32,J,,,,,,,,,,,,
3312,6D33,J,,,,,,,,,,,,
3313,6D35,J,,,,,,,,,,,,
3314,6D36,J,,,,,,,,,,,,
3315,6D38,J,,,,,,,,,,,,
3316,6D39,J,,,,,,,,,,,,
3317,6D3B,J,,,,,,,,,,,,
3318,6D3D,J,,,,,,,,,,,,
3319,6D3E,C,6D3E,J,,,,,,,,,,
3320,6D41,T,6D41,J,,,,,,,,,,
3321,6D48,CU,6E5E,C,,,,,,,,,,
3322,6D59,J,,,,,,,,,,,,
3323,6D5A,J,,,,,,,,,,,,
3324,6D5C,CU,,,,,,,,,,,,
3325,6D5E,J,,,,,,,,,,,,
3326,6D60,CU,,,,,,,,,,,,
3327,6D63,J,,,,,,,,,,,,
3328,6D64,J,,,,,,,,,,,,
3329,6D65,J,,,,,,,,,,,,
3330,6D66,J,,,,,,,,,,,,
3331,6D69,J,6F94,J,,,,,,,,,,
3332,6D6A,J,,,,,,,,,,,,
3333,6D6C,J,,,,,,,,,,,,
3334,6D6E,K,6D6E,J,,,,,,,,,,
3335,6D6F,CU,,,,,,,,,,,,
3336,6D74,J,,,,,,,,,,,,
3337,6D77,C,6D77,J,,,,,,,,,,
3338,6D78,T,6D78,J,6FC5,J,,,,,,,,
3339,6D79,J,6D43,C,,,,,,,,,,
3340,6D7C,J,,,,,,,,,,,,
3341,6D7F,KU,,,,,,,,,,,,
3342,6D85,J,,,,,,,,,,,,
3343,6D87,J,6CFE,C,,,,,,,,,,
3344,6D88,K,6D88,J,,,,,,,,,,
3345,6D89,C,6E09,J,,,,,,,,,,
3346,6D8C,J,,,,,,,,,,,,
3347,6D8D,KU,,,,,,,,,,,,
3348,6D8E,J,,,,,,,,,,,,
3349,6D91,J,,,,,,,,,,,,
3350,6D93,J,,,,,,,,,,,,
3351,6D94,J,,,,,,,,,,,,
3352,6D95,J,,,,,,,,,,,,
3353,6D9D,CU,6F87,C,,,,,,,,,,
3354,6D9E,CU,6DF6,C,,,,,,,,,,
3355,6DA0,CU,6F7F,C,,,,,,,,,,
3356,6DAA,C,,,,,,,,,,,,
3357,6DAB,CU,,,,,,,,,,,,
3358,6DAE,C,,,,,,,,,,,,
3359,6DAF,J,,,,,,,,,,,,
3360,6DB2,J,,,,,,,,,,,,
3361,6DB5,J,,,,,,,,,,,,
3362,6DB8,J,,,,,,,,,,,,
3363,6DBC,J,51C9,J,,,,,,,,,,
3364,6DBF,T,6DBF,C,6DBF,J,,,,,,,,
3365,6DC0,J,,,,,,,,,,,,
3366,6DC3,KU,,,,,,,,,,,,
3367,6DC4,J,6E7D,J,,,,,,,,,,
3368,6DC5,J,,,,,,,,,,,,
3369,6DC6,J,,,,,,,,,,,,
3370,6DC7,J,,,,,,,,,,,,
3371,6DCB,J,,,,,,,,,,,,
3372,6DCC,J,6DCC,C,,,,,,,,,,
3373,6DCF,KU,,,,,,,,,,,,
3374,6DD1,J,,,,,,,,,,,,
3375,6DD2,J,51C4,C,,,,,,,,,,
3376,6DD6,J,,,,,,,,,,,,
3377,6DD8,J,,,,,,,,,,,,
3378,6DD9,J,,,,,,,,,,,,
3379,6DDA,T,6D99,J,6CEA,J,,,,,,,,
3380,6DDD,J,,,,,,,,,,,,
3381,6DDE,J,,,,,,,,,,,,
3382,6DE0,J,,,,,,,,,,,,
3383,6DE1,J,,,,,,,,,,,,
3384,6DE4,J,,,,,,,,,,,,
3385,6DE6,J,,,,,,,,,,,,
3386,6DE8,K,6DE8,T,6D44,J,51C0,C,,,,,,
3387,6DEA,J,6CA6,C,,,,,,,,,,
3388,6DEB,K,6DEB,J,,,,,,,,,,
3389,6DEC,J,,,,,,,,,,,,
3390,6DEE,J,,,,,,,,,,,,
3391,6DF1,J,6DF1,C,,,,,,,,,,
3392,6DF3,J,6E7B,J,,,,,,,,,,
3393,6DF5,J,6E0A,J,6E15,J,,,,,,,,
3394,6DF7,J,,,,,,,,,,,,
3395,6DF8,K,6E05,J,,,,,,,,,,
3396,6DF9,J,,,,,,,,,,,,
3397,6DFA,J,6D45,J,6D45,C,,,,,,,,
3398,6DFB,C,6DFB,J,,,,,,,,,,
3399,6DFC,J,,,,,,,,,,,,
3400,6E0C,CU,,,,,,,,,,,,
3401,6E19,J,6DA3,C,,,,,,,,,,
3402,6E1A,K,6E1A,J,,,,,,,,,,
3403,6E1B,J,51CF,C,,,,,,,,,,
3404,6E1D,J,6E1D,C,,,,,,,,,,
3405,6E1F,J,,,,,,,,,,,,
3406,6E20,J,,,,,,,,,,,,
3407,6E21,J,,,,,,,,,,,,
3408,6E23,C,6E23,J,,,,,,,,,,
3409,6E24,J,,,,,,,,,,,,
3410,6E25,J,,,,,,,,,,,,
3411,6E26,J,6E26,C,6DA1,C,,,,,,,,
3412,6E2B,J,,,,,,,,,,,,
3413,6E2C,J,6D4B,C,,,,,,,,,,
3414,6E2D,J,,,,,,,,,,,,
3415,6E2F,C,6E2F,J,,,,,,,,,,
3416,6E32,J,,,,,,,,,,,,
3417,6E34,C,6E07,J,,,,,,,,,,
3418,6E36,KU,,,,,,,,,,,,
3419,6E38,J,,,,,,,,,,,,
3420,6E3A,J,,,,,,,,,,,,
3421,6E3C,KU,,,,,,,,,,,,
3422,6E3D,KU,,,,,,,,,,,,
3423,6E3E,J,6D51,C,,,,,,,,,,
3424,6E43,J,,,,,,,,,,,,
3425,6E44,J,,,,,,,,,,,,
3426,6E4A,J,51D1,C,,,,,,,,,,
3427,6E4D,J,,,,,,,,,,,,
3428,6E4E,J,,,,,,,,,,,,
3429,6E53,J,,,,,,,,,,,,
3430,6E54,J,,,,,,,,,,,,
3431,6E56,J,,,,,,,,,,,,
3432,6E58,J,,,,,,,,,,,,
3433,6E5B,J,,,,,,,,,,,,
3434,6E5C,J,,,,,,,,,,,,
3435,6E5F,J,,,,,,,,,,,,
3436,6E63,J,,,,,,,,,,,,
3437,6E67,J,6D8C,C,,,,,,,,,,
3438,6E69,TU,,,,,,,,,,,,
3439,6E6B,J,,,,,,,,,,,,
3440,6E6E,J,6D07,C,,,,,,,,,,
3441,6E6F,J,6C64,C,,,,,,,,,,
3442,6E72,J,6E72,T,,,,,,,,,,
3443,6E73,KU,,,,,,,,,,,,
3444,6E7A,KU,,,,,,,,,,,,
3445,6E82,JU,,,,,,,,,,,,
3446,6E86,CU,,,,,,,,,,,,
3447,6E8F,J,,,,,,,,,,,,
3448,6E90,J,,,,,,,,,,,,
3449,6E96,J,51D6,J,51C6,C,,,,,,,,
3450,6E98,J,,,,,,,,,,,,
3451,6E9C,J,6F91,J,,,,,,,,,,
3452,6E9D,K,6E9D,J,6C9F,C,,,,,,,,
3453,6E9F,J,,,,,,,,,,,,
3454,6EA2,K,6EA2,J,,,,,,,,,,
3455,6EA5,J,,,,,,,,,,,,
3456,6EA7,C,,,,,,,,,,,,
3457,6EAA,J,6EAA,C,6E13,J,,,,,,,,
3458,6EAB,T,6E29,J,,,,,,,,,,
3459,6EAF,J,,,,,,,,,,,,
3460,6EB1,J,,,,,,,,,,,,
3461,6EB2,J,6EB2,C,,,,,,,,,,
3462,6EB4,C,,,,,,,,,,,,
3463,6EB6,J,,,,,,,,,,,,
3464,6EB7,J,,,,,,,,,,,,
3465,6EBA,K,6EBA,J,,,,,,,,,,
3466,6EBB,CU,,,,,,,,,,,,
3467,6EBD,J,,,,,,,,,,,,
3468,6EC1,J,,,,,,,,,,,,
3469,6EC2,J,9736,T,,,,,,,,,,
3470,6EC4,J,6CA7,C,,,,,,,,,,
3471,6EC5,J,706D,C,,,,,,,,,,
3472,6EC7,J,6EC7,C,,,,,,,,,,
3473,6EC9,J,,,,,,,,,,,,
3474,6ECB,J,,,,,,,,,,,,
3475,6ECC,J,6DA4,C,,,,,,,,,,
3476,6ECE,J,8365,C,,,,,,,,,,
3477,6ECF,CU,,,,,,,,,,,,
3478,6ED1,J,6ED1,C,,,,,,,,,,
3479,6ED3,J,,,,,,,,,,,,
3480,6ED4,J,6ED4,C,,,,,,,,,,
3481,6ED5,J,6ED5,C,,,,,,,,,,
3482,6ED7,CU,6F77,C,,,,,,,,,,
3483,6EE0,CU,7044,C,,,,,,,,,,
3484,6EEC,T,6EEC,J,6CAA,C,,,,,,,,
3485,6EEF,J,6EDE,J,6EDE,C,,,,,,,,
3486,6EF2,J,6E17,C,,,,,,,,,,
3487,6EF4,J,,,,,,,,,,,,
3488,6EF7,J,,,,,,,,,,,,
3489,6EF8,J,6D52,C,,,,,,,,,,
3490,6EF9,J,,,,,,,,,,,,
3491,6EFE,J,6EDA,C,,,,,,,,,,
3492,6EFF,J,6EE1,C,6E80,J,,,,,,,,
3493,6F01,J,6E14,C,,,,,,,,,,
3494,6F02,J,,,,,,,,,,,,
3495,6F06,J,67D2,J,,,,,,,,,,
3496,6F09,J,,,,,,,,,,,,
3497,6F0F,J,5C5A,J,,,,,,,,,,
3498,6F11,T,6F11,J,6E89,C,,,,,,,,
3499,6F13,J,,,,,,,,,,,,
3500,6F14,J,,,,,,,,,,,,
3501,6F15,J,,,,,,,,,,,,
3502,6F1A,J,6CA4,C,,,,,,,,,,
3503,6F20,T,6F20,J,,,,,,,,,,
3504,6F22,T,6F22,J,6C49,C,,,,,,,,
3505,6F23,K,6F23,J,6D9F,C,,,,,,,,
3506,6F24,CU,,,,,,,,,,,,
3507,6F29,C,,,,,,,,,,,,
3508,6F2A,J,,,,,,,,,,,,
3509,6F2B,J,,,,,,,,,,,,
3510,6F2C,J,6D13,J,6E0D,C,,,,,,,,
3511,6F2D,T,6F2D,J,,,,,,,,,,
3512,6F2F,J,,,,,,,,,,,,
3513,6F31,J,,,,,,,,,,,,
3514,6F32,J,6DA8,C,,,,,,,,,,
3515,6F33,J,,,,,,,,,,,,
3516,6F36,CU,,,,,,,,,,,,
3517,6F38,J,6E10,C,,,,,,,,,,
3518,6F3E,J,,,,,,,,,,,,
3519,6F3F,J,6D46,C,,,,,,,,,,
3520,6F41,J,988D,C,,,,,,,,,,
3521,6F51,J,6CFC,C,6E8C,J,,,,,,,,
3522,6F54,T,6F54,J,6D01,C,,,,,,,,
3523,6F57,KU,,,,,,,,,,,,
3524,6F58,J,,,,,,,,,,,,
3525,6F5A,KU,,,,,,,,,,,,
3526,6F5B,J,6F5B,T,6F5C,J,6FF3,J,,,,,,
3527,6F5E,J,,,,,,,,,,,,
3528,6F5F,J,,,,,,,,,,,,
3529,6F60,TU,,,,,,,,,,,,
3530,6F62,J,6F62,C,,,,,,,,,,
3531,6F64,J,6DA6,C,,,,,,,,,,
3532,6F66,J,,,,,,,,,,,,
3533,6F6D,J,,,,,,,,,,,,
3534,6F6E,J,,,,,,,,,,,,
3535,6F6F,J,6D54,C,,,,,,,,,,
3536,6F70,J,6E83,C,,,,,,,,,,
3537,6F72,CU,,,,,,,,,,,,
3538,6F78,J,6F78,C,,,,,,,,,,
3539,6F7A,J,,,,,,,,,,,,
3540,6F7C,J,,,,,,,,,,,,
3541,6F7D,KU,,,,,,,,,,,,
3542,6F7E,KU,,,,,,,,,,,,
3543,6F81,J,6F80,J,6DA9,C,6E0B,J,,,,,,
3544,6F84,J,6F82,J,,,,,,,,,,
3545,6F86,J,6D47,C,,,,,,,,,,
3546,6F88,J,,,,,,,,,,,,
3547,6F89,CU,,,,,,,,,,,,
3548,6F8C,J,,,,,,,,,,,,
3549,6F8D,J,,,,,,,,,,,,
3550,6F8E,J,,,,,,,,,,,,
3551,6F90,J,6C84,C,,,,,,,,,,
3552,6F97,J,6DA7,C,,,,,,,,,,
3553,6FA0,J,6E11,C,,,,,,,,,,
3554,6FA1,J,,,,,,,,,,,,
3555,6FA3,J,,,,,,,,,,,,
3556,6FA4,J,6CFD,C,6CA2,J,,,,,,,,
3557,6FA6,J,,,,,,,,,,,,
3558,6FA7,J,,,,,,,,,,,,
3559,6FAA,JU,,,,,,,,,,,,
3560,6FAE,J,6D4D,C,,,,,,,,,,
3561,6FAF,KU,,,,,,,,,,,,
3562,6FB1,J,6DC0,C,,,,,,,,,,
3563,6FB3,J,6FB3,C,,,,,,,,,,
3564,6FB4,TU,,,,,,,,,,,,
3565,6FB6,J,,,,,,,,,,,,
3566,6FB9,J,,,,,,,,,,,,
3567,6FBE,KU,,,,,,,,,,,,
3568,6FC0,J,,,,,,,,,,,,
3569,6FC1,J,6D4A,C,,,,,,,,,,
3570,6FC2,J,,,,,,,,,,,,
3571,6FC3,J,6D53,C,,,,,,,,,,
3572,6FC6,J,,,,,,,,,,,,
3573,6FC9,CU,,,,,,,,,,,,
3574,6FCA,J,,,,,,,,,,,,
3575,6FD5,J,6EBC,T,6E7F,J,,,,,,,,
3576,6FD8,J,6CDE,C,,,,,,,,,,
3577,6FDA,KU,,,,,,,,,,,,
3578,6FDB,T,6FDB,J,8499,C,,,,,,,,
3579,6FDE,J,,,,,,,,,,,,
3580,6FDF,J,6D4E,C,6E08,J,,,,,,,,
3581,6FE0,J,,,,,,,,,,,,
