連番,代表字形,別字形1,,別字形2,,別字形3,,別字形4,,別字形5,,別字形6,
3000,6A13,J,697C,J,,,,,,,,,,
3001,6A17,J,,,,,,,,,,,,
3002,6A18,CU,,,,,,,,,,,,
3003,6A19,J,6807,C,,,,,,,,,,
3004,6A1B,J,,,,,,,,,,,,
3005,6A1E,J,67A2,J,,,,,,,,,,
3006,6A1F,J,,,,,,,,,,,,
3007,6A21,T,6A21,J,7CE2,J,,,,,,,,
3008,6A23,J,6837,C,69D8,J,,,,,,,,
3009,6A28,CU,,,,,,,,,,,,
3010,6A2B,JU,,,,,,,,,,,,
3011,6A35,J,,,,,,,,,,,,
3012,6A38,J,6A8F,T,6734,C,,,,,,,,
3013,6A39,J,6811,C,,,,,,,,,,
3014,6A3A,T,6A3A,J,6866,C,,,,,,,,
3015,6A3D,K,6A3D,J,,,,,,,,,,
3016,6A3E,J,,,,,,,,,,,,
3017,6A44,J,6A44,C,,,,,,,,,,
3018,6A47,J,,,,,,,,,,,,
3019,6A48,J,6861,C,,,,,,,,,,
3020,6A4B,J,6865,C,69D7,J,,,,,,,,
3021,6A50,J,69D6,J,,,,,,,,,,
3022,6A52,KU,,,,,,,,,,,,
3023,6A53,KU,,,,,,,,,,,,
3024,6A58,J,,,,,,,,,,,,
3025,6A59,J,,,,,,,,,,,,
3026,6A5B,J,6A5C,T,,,,,,,,,,
3027,6A5F,J,673A,C,,,,,,,,,,
3028,6A61,J,,,,,,,,,,,,
3029,6A62,J,692D,C,6955,J,,,,,,,,
3030,6A65,CU,,,,,,,,,,,,
3031,6A66,J,,,,,,,,,,,,
3032,6A6B,K,6A6B,T,6A2A,J,,,,,,,,
3033,6A7F,JU,,,,,,,,,,,,
3034,6A80,J,,,,,,,,,,,,
3035,6A84,J,,,,,,,,,,,,
3036,6A89,J,67FD,C,,,,,,,,,,
3037,6A8D,J,,,,,,,,,,,,
3038,6A8E,J,,,,,,,,,,,,
3039,6A90,J,,,,,,,,,,,,
3040,6A91,CU,,,,,,,,,,,,
3041,6A94,T,6863,C,,,,,,,,,,
3042,6A97,J,6A98,T,8617,J,,,,,,,,
3043,6A9C,J,6867,C,,,,,,,,,,
3044,6AA0,T,6AA0,J,,,,,,,,,,
3045,6AA2,J,68C0,C,691C,J,,,,,,,,
3046,6AA3,J,6A2F,C,,,,,,,,,,
3047,6AA9,CU,,,,,,,,,,,,
3048,6AAB,CU,,,,,,,,,,,,
3049,6AAC,J,,,,,,,,,,,,
3050,6AAE,J,68BC,J,,,,,,,,,,
3051,6AAF,T,53F0,C,,,,,,,,,,
3052,6AB3,J,68B9,J,69DF,C,,,,,,,,
3053,6AB8,J,67E0,C,,,,,,,,,,
3054,6ABB,J,69DB,C,,,,,,,,,,
3055,6AC2,J,6AC2,T,,,,,,,,,,
3056,6AC3,J,67DC,C,,,,,,,,,,
3057,6AD3,J,6A79,C,,,,,,,,,,
3058,6ADA,J,6988,C,,,,,,,,,,
3059,6ADB,K,6ADB,J,6809,C,,,,,,,,
3060,6ADD,J,691F,C,,,,,,,,,,
3061,6ADE,J,6A7C,C,,,,,,,,,,
