連番,代表字形,別字形1,,別字形2,,別字形3,,別字形4,,別字形5,,別字形6,
1500,5BDE,J,,,,,,,,,,,,
1501,5BDF,J,,,,,,,,,,,,
1502,5BE0,J,7AAD,C,,,,,,,,,,
1503,5BE1,J,,,,,,,,,,,,
1504,5BE2,J,5BDD,J,5BE2,C,,,,,,,,
1505,5BE4,J,,,,,,,,,,,,
1506,5BE5,J,,,,,,,,,,,,
1507,5BE6,J,5B9E,C,5B9F,J,,,,,,,,
1508,5BE7,T,5BE7,J,5B81,C,,,,,,,,
1509,5BE8,J,,,,,,,,,,,,
1510,5BE9,J,5BA1,C,,,,,,,,,,
1511,5BEB,J,5199,J,5199,C,51A9,J,,,,,,
1512,5BEC,T,5BDB,J,5BBD,C,,,,,,,,
1513,5BEE,J,,,,,,,,,,,,
1514,5BEF,KU,,,,,,,,,,,,
1515,5BF0,J,,,,,,,,,,,,
1516,5BF5,J,5BA0,C,,,,,,,,,,
1517,5BF6,J,5BF3,J,5B9D,J,,,,,,,,
1518,5BF8,J,,,,,,,,,,,,
1519,5BFA,J,,,,,,,,,,,,
1520,5C01,J,,,,,,,,,,,,
1521,5C04,J,,,,,,,,,,,,
1522,5C07,J,5C06,J,,,,,,,,,,
1523,5C08,J,4E13,C,5C02,J,,,,,,,,
1524,5C09,J,,,,,,,,,,,,
1525,5C0A,K,5C0A,J,,,,,,,,,,
1526,5C0B,K,5C0B,J,5BFB,C,,,,,,,,
1527,5C0D,J,5BF9,C,5BFE,J,,,,,,,,
1528,5C0E,K,5C0E,J,5BFC,C,,,,,,,,
1529,5C0F,J,,,,,,,,,,,,
1530,5C11,J,,,,,,,,,,,,
1531,5C15,CU,,,,,,,,,,,,
1532,5C16,J,,,,,,,,,,,,
1533,5C19,K,5C1A,J,,,,,,,,,,
1534,5C20,J,5C1F,J,,,,,,,,,,
1535,5C22,J,5C23,J,,,,,,,,,,
1536,5C24,J,,,,,,,,,,,,
1537,5C28,J,5C28,C,,,,,,,,,,
1538,5C2A,T,5C29,J,5C2B,J,,,,,,,,
1539,5C2C,CU,,,,,,,,,,,,
1540,5C31,J,,,,,,,,,,,,
1541,5C37,T,5C36,J,5C34,C,,,,,,,,
1542,5C38,J,,,,,,,,,,,,
1543,5C39,J,,,,,,,,,,,,
1544,5C3A,J,,,,,,,,,,,,
1545,5C3B,J,,,,,,,,,,,,
1546,5C3C,J,,,,,,,,,,,,
1547,5C3E,J,,,,,,,,,,,,
1548,5C3F,J,,,,,,,,,,,,
1549,5C40,J,,,,,,,,,,,,
1550,5C41,J,,,,,,,,,,,,
1551,5C45,J,,,,,,,,,,,,
1552,5C48,J,,,,,,,,,,,,
1553,5C49,CU,,,,,,,,,,,,
1554,5C4A,J,5C46,J,,,,,,,,,,
1555,5C4B,J,,,,,,,,,,,,
1556,5C4D,J,5C38,C,,,,,,,,,,
1557,5C4E,J,,,,,,,,,,,,
1558,5C50,J,,,,,,,,,,,,
1559,5C51,K,5C51,J,,,,,,,,,,
1560,5C55,J,,,,,,,,,,,,
1561,5C59,CU,,,,,,,,,,,,
1562,5C5B,K,5C4F,J,,,,,,,,,,
1563,5C60,K,5C60,J,,,,,,,,,,
1564,5C62,J,5C61,J,,,,,,,,,,
1565,5C63,J,,,,,,,,,,,,
1566,5C64,K,5C64,J,5C64,T,5C42,C,,,,,,
1567,5C65,J,,,,,,,,,,,,
1568,5C68,J,5C66,C,,,,,,,,,,
1569,5C6C,J,5C5E,J,,,,,,,,,,
1570,5C6D,J,5C53,J,5C43,C,,,,,,,,
1571,5C6E,C,5C6E,J,,,,,,,,,,
1572,5C6F,J,,,,,,,,,,,,
1573,5C71,J,,,,,,,,,,,,
1574,5C76,JU,,,,,,,,,,,,
1575,5C79,J,,,,,,,,,,,,
1576,5C7A,J,,,,,,,,,,,,
1577,5C88,C,5C88,J,,,,,,,,,,
1578,5C8C,J,5C8C,C,,,,,,,,,,
1579,5C8D,CU,,,,,,,,,,,,
1580,5C90,J,,,,,,,,,,,,
1581,5C91,J,,,,,,,,,,,,
1582,5C94,J,,,,,,,,,,,,
1583,5C99,CU,,,,,,,,,,,,
1584,5C9C,CU,,,,,,,,,,,,
1585,5CA1,J,5188,C,583D,J,,,,,,,,
1586,5CA2,CU,,,,,,,,,,,,
1587,5CA3,J,,,,,,,,,,,,
1588,5CA8,J,,,,,,,,,,,,
1589,5CA9,J,,,,,,,,,,,,
1590,5CAB,J,,,,,,,,,,,,
1591,5CAC,J,,,,,,,,,,,,
1592,5CB1,J,,,,,,,,,,,,
1593,5CB3,J,5DBD,J,,,,,,,,,,
1594,5CB5,J,,,,,,,,,,,,
1595,5CB6,JU,,,,,,,,,,,,
1596,5CB7,J,,,,,,,,,,,,
1597,5CB8,J,,,,,,,,,,,,
1598,5CBA,KU,,,,,,,,,,,,
1599,5CBB,JU,,,,,,,,,,,,
1600,5CBC,JU,,,,,,,,,,,,
