連番,代表字形,別字形1,,別字形2,,別字形3,,別字形4,,別字形5,,別字形6,
0139,4F34,J,,,,,,,,,,,,
0140,4F36,J,,,,,,,,,,,,
0141,4F38,J,,,,,,,,,,,,
0142,4F3A,J,,,,,,,,,,,,
0143,4F3C,J,4F40,J,,,,,,,,,,
0144,4F3D,J,,,,,,,,,,,,
0145,4F43,J,,,,,,,,,,,,
0146,4F46,J,,,,,,,,,,,,
0147,4F47,J,4F2B,C,,,,,,,,,,
0148,4F48,J,,,,,,,,,,,,
0149,4F4D,J,,,,,,,,,,,,
0150,4F4E,J,,,,,,,,,,,,
0151,4F4F,J,,,,,,,,,,,,
0152,4F50,J,,,,,,,,,,,,
0153,4F51,J,,,,,,,,,,,,
0154,4F54,J,5360,C,,,,,,,,,,
0155,4F55,J,,,,,,,,,,,,
0156,4F57,J,,,,,,,,,,,,
0157,4F58,CU,,,,,,,,,,,,
0158,4F5A,J,,,,,,,,,,,,
0159,4F5B,J,4ECF,J,,,,,,,,,,
0160,4F5C,J,,,,,,,,,,,,
0161,4F5D,J,,,,,,,,,,,,
0162,4F5E,J,4FAB,J,,,,,,,,,,
0163,4F5F,CU,,,,,,,,,,,,
0164,4F60,C,4F31,J,,,,,,,,,,
0165,4F63,T,,,,,,,,,,,,
0166,4F64,CU,,,,,,,,,,,,
0167,4F67,CU,,,,,,,,,,,,
0168,4F69,J,,,,,,,,,,,,
0169,4F6C,C,,,,,,,,,,,,
0170,4F6F,J,,,,,,,,,,,,
0171,4F70,J,,,,,,,,,,,,
0172,4F73,J,,,,,,,,,,,,
0173,4F74,CU,,,,,,,,,,,,
0174,4F76,J,,,,,,,,,,,,
0175,4F7A,T,,,,,,,,,,,,
0176,4F7B,J,,,,,,,,,,,,
0177,4F7C,J,,,,,,,,,,,,
0178,4F7E,J,,,,,,,,,,,,
0179,4F7F,J,,,,,,,,,,,,
0180,4F81,KU,,,,,,,,,,,,
0181,4F83,J,5058,T,,,,,,,,,,
0182,4F84,C,,,,,,,,,,,,
0183,4F86,J,6765,J,,,,,,,,,,
0184,4F88,J,,,,,,,,,,,,
0185,4F89,CU,,,,,,,,,,,,
0186,4F8A,KU,,,,,,,,,,,,
0187,4F8B,J,,,,,,,,,,,,
0188,4F8D,J,,,,,,,,,,,,
0189,4F8F,J,,,,,,,,,,,,
0190,4F91,J,,,,,,,,,,,,
0191,4F94,J,,,,,,,,,,,,
0192,4F96,J,4ED1,C,,,,,,,,,,
0193,4F97,J,,,,,,,,,,,,
0194,4F98,J,,,,,,,,,,,,
0195,4F9B,J,,,,,,,,,,,,
0196,4F9D,J,,,,,,,,,,,,
0197,4FAE,C,4FAE,J,,,,,,,,,,
0198,4FAF,J,77E6,J,,,,,,,,,,
0199,4FB5,T,4FB5,J,,,,,,,,,,
0200,4FB6,J,4FA3,C,,,,,,,,,,
0201,4FB7,J,,,,,,,,,,,,
0202,4FBF,J,,,,,,,,,,,,
0203,4FC1,T,4FE3,C,,,,,,,,,,
0204,4FC2,J,7CFB,C,,,,,,,,,,
0205,4FC3,J,,,,,,,,,,,,
0206,4FC4,J,,,,,,,,,,,,
0207,4FC5,J,,,,,,,,,,,,
0208,4FC9,KU,,,,,,,,,,,,
0209,4FCA,J,,,,,,,,,,,,
0210,4FCE,J,723C,J,,,,,,,,,,
0211,4FCF,J,4FCF,C,,,,,,,,,,
0212,4FD0,J,,,,,,,,,,,,
0213,4FD1,J,,,,,,,,,,,,
0214,4FD3,KU,,,,,,,,,,,,
0215,4FD4,J,,,,,,,,,,,,
0216,4FD7,J,,,,,,,,,,,,
0217,4FD8,J,4FD8,C,,,,,,,,,,
0218,4FDA,J,,,,,,,,,,,,
0219,4FDB,JU,,,,,,,,,,,,
0220,4FDC,CU,,,,,,,,,,,,
0221,4FDD,J,,,,,,,,,,,,
0222,4FDF,J,,,,,,,,,,,,
0223,4FE0,J,4FA0,J,,,,,,,,,,
0224,4FE1,J,,,,,,,,,,,,
0225,4FE3,JU,,,,,,,,,,,,
0226,4FE4,JU,,,,,,,,,,,,
0227,4FE5,JU,,,,,,,,,,,,
0228,4FEE,J,4FEE,C,,,,,,,,,,
0229,4FEF,J,,,,,,,,,,,,
0230,4FF1,C,5036,J,,,,,,,,,,
0231,4FF3,J,,,,,,,,,,,,
0232,4FF5,J,,,,,,,,,,,,
0233,4FF6,JU,,,,,,,,,,,,
0234,4FF8,J,,,,,,,,,,,,
0235,4FFA,J,,,,,,,,,,,,
0236,4FFE,J,,,,,,,,,,,,
0237,5000,J,4F25,C,,,,,,,,,,
0238,5002,K,4F75,J,5E76,C,,,,,,,,
0239,5005,JU,4F1C,J,,,,,,,,,,
0240,5006,J,4FE9,C,,,,,,,,,,
0241,5009,J,4ED3,C,,,,,,,,,,
0242,500B,J,4E2A,C,,,,,,,,,,
0243,500C,J,,,,,,,,,,,,
0244,500D,J,4FD6,T,,,,,,,,,,
0245,500F,J,5010,J,,,,,,,,,,
0246,5011,J,4EEC,C,,,,,,,,,,
0247,5012,J,,,,,,,,,,,,
0248,5014,J,,,,,,,,,,,,
0249,5016,J,,,,,,,,,,,,
0250,5018,J,5018,C,,,,,,,,,,
0251,5019,J,,,,,,,,,,,,
0252,501A,J,,,,,,,,,,,,
0253,501C,J,501C,C,,,,,,,,,,
0254,501E,KU,,,,,,,,,,,,
0255,501F,J,,,,,,,,,,,,
0256,5021,J,,,,,,,,,,,,
0257,5023,J,,,,,,,,,,,,
0258,5024,J,503C,C,,,,,,,,,,
0259,5025,J,,,,,,,,,,,,
0260,5026,T,5026,J,52B5,J,,,,,,,,
0261,5027,KU,,,,,,,,,,,,
0262,5028,J,,,,,,,,,,,,
0263,5029,J,5029,C,,,,,,,,,,
0264,502A,J,,,,,,,,,,,,
0265,502B,J,4F26,C,,,,,,,,,,
0266,502C,J,,,,,,,,,,,,
0267,502D,J,,,,,,,,,,,,
0268,502E,J,,,,,,,,,,,,
0269,503B,KU,,,,,,,,,,,,
0270,5043,J,,,,,,,,,,,,
0271,5047,J,4EEE,J,,,,,,,,,,
0272,5048,J,,,,,,,,,,,,
0273,5049,T,4F1F,C,5049,J,,,,,,,,
0274,504C,T,504C,C,,,,,,,,,,
0275,504E,J,,,,,,,,,,,,
0276,504F,J,,,,,,,,,,,,
0277,5050,J,,,,,,,,,,,,
0278,5055,JU,,,,,,,,,,,,
0279,5056,JU,,,,,,,,,,,,
0280,505A,J,,,,,,,,,,,,
0281,505C,J,,,,,,,,,,,,
0282,5065,J,,,,,,,,,,,,
0283,506C,J,500A,J,50AF,J,,,,,,,,
0284,506D,J,,,,,,,,,,,,
0285,506F,TU,,,,,,,,,,,,
0286,5072,J,,,,,,,,,,,,
0287,5074,J,4FA7,C,,,,,,,,,,
0288,5075,J,4FA6,C,,,,,,,,,,
0289,5076,J,,,,,,,,,,,,
0290,5078,J,5077,C,,,,,,,,,,
0291,507A,TU,,,,,,,,,,,,
0292,5080,J,5080,C,,,,,,,,,,
0293,5085,J,,,,,,,,,,,,
0294,5088,CU,,,,,,,,,,,,
0295,508D,J,,,,,,,,,,,,
0296,5091,J,6770,C,,,,,,,,,,
0297,5096,J,4F27,C,,,,,,,,,,
0298,5098,J,4F1E,C,,,,,,,,,,
0299,5099,J,5907,C,50C3,T,5079,T,,,,,,
0300,509A,J,4FF2,J,,,,,,,,,,
0301,50A2,J,5BB6,C,,,,,,,,,,
0302,50A3,CU,,,,,,,,,,,,
0303,50AC,J,,,,,,,,,,,,
0304,50AD,J,4F63,C,,,,,,,,,,
0305,50B2,J,,,,,,,,,,,,
0306,50B3,J,4F20,C,4F1D,J,,,,,,,,
0307,50B4,J,4F1B,C,,,,,,,,,,
0308,50B5,J,503A,C,,,,,,,,,,
0309,50B7,J,4F24,C,,,,,,,,,,
0310,50BA,J,,,,,,,,,,,,
0311,50BB,CU,,,,,,,,,,,,
0312,50BE,J,503E,C,,,,,,,,,,
0313,50C2,J,507B,C,,,,,,,,,,
0314,50C5,T,4EC5,C,50C5,J,,,,,,,,
0315,50C7,J,50C7,T,,,,,,,,,,
0316,50C9,J,4F65,C,,,,,,,,,,
0317,50CA,T,50CA,J,4ED9,C,,,,,,,,
0318,50CD,JU,,,,,,,,,,,,
0319,50CE,TU,,,,,,,,,,,,
0320,50CF,J,50CF,C,,,,,,,,,,
0321,50D1,J,4FA8,C,,,,,,,,,,
0322,50D5,J,4EC6,C,,,,,,,,,,
0323,50D6,J,,,,,,,,,,,,
0324,50DA,J,,,,,,,,,,,,
0325,50DE,J,507D,J,4F2A,C,,,,,,,,
0326,50E5,J,4FA5,C,,,,,,,,,,
0327,50E6,J,,,,,,,,,,,,
0328,50E7,K,50E7,J,50E7,C,,,,,,,,
0329,50E8,J,507E,C,,,,,,,,,,
0330,50E9,J,,,,,,,,,,,,
0331,50EC,CU,,,,,,,,,,,,
0332,50ED,J,50E3,J,,,,,,,,,,
0333,50EE,J,,,,,,,,,,,,
0334,50F1,TU,,,,,,,,,,,,
0335,50F3,CU,,,,,,,,,,,,
0336,50F5,J,,,,,,,,,,,,
0337,50F9,J,4EF7,C,4FA1,J,,,,,,,,
0338,50FB,J,,,,,,,,,,,,
0339,50FF,KU,,,,,,,,,,,,
0340,5100,J,4EEA,C,,,,,,,,,,
0341,5101,J,,,,,,,,,,,,
0342,5102,J,4FAC,C,,,,,,,,,,
0343,5104,J,4EBF,C,,,,,,,,,,
0344,5106,J,,,,,,,,,,,,
0345,5107,J,,,,,,,,,,,,
0346,5108,J,4FA9,C,,,,,,,,,,
0347,5109,J,4FED,C,5039,J,,,,,,,,
0348,510B,J,,,,,,,,,,,,
0349,5110,J,50A7,C,,,,,,,,,,
0350,5112,J,,,,,,,,,,,,
0351,5114,J,4FE6,C,,,,,,,,,,
0352,5115,J,4FAA,C,,,,,,,,,,
0353,5118,J,4FAD,J,5C3D,C,,,,,,,,
0354,511A,JU,511A,T,,,,,,,,,,
0355,511F,J,507F,C,,,,,,,,,,
0356,5121,J,,,,,,,,,,,,
0357,512A,J,4F18,C,,,,,,,,,,
0358,5132,K,50A8,C,5132,J,,,,,,,,
0359,5133,J,,,,,,,,,,,,
0360,5137,J,4FEA,C,,,,,,,,,,
0361,5138,TU,,,,,,,,,,,,
0362,513A,J,50A9,C,,,,,,,,,,
0363,513B,J,50A5,C,,,,,,,,,,
0364,513C,J,4FE8,C,,,,,,,,,,
0365,513F,J,,,,,,,,,,,,
0366,5140,J,,,,,,,,,,,,
0367,5141,J,,,,,,,,,,,,
0368,5143,J,,,,,,,,,,,,
0369,5144,J,,,,,,,,,,,,
0370,5145,J,,,,,,,,,,,,
0371,5146,J,,,,,,,,,,,,
0372,5147,J,,,,,,,,,,,,
0373,5148,J,,,,,,,,,,,,
0374,5149,J,7097,J,,,,,,,,,,
0375,514B,J,,,,,,,,,,,,
0376,514C,J,514A,J,5151,C,,,,,,,,
0377,514D,J,,,,,,,,,,,,
0378,514E,J,5154,C,,,,,,,,,,
0379,5152,J,5150,J,513F,C,,,,,,,,
0380,5155,J,,,,,,,,,,,,
0381,5157,J,5156,C,,,,,,,,,,
0382,5159,TU,,,,,,,,,,,,
0383,515B,TU,,,,,,,,,,,,
0384,515C,J,,,,,,,,,,,,
0385,515D,TU,,,,,,,,,,,,
0386,515E,TU,,,,,,,,,,,,
0387,5161,TU,,,,,,,,,,,,
0388,5162,J,,,,,,,,,,,,
0389,5163,TU,,,,,,,,,,,,
0390,5165,J,,,,,,,,,,,,
0391,5167,T,5185,J,,,,,,,,,,
0392,5168,J,,,,,,,,,,,,
0393,5169,J,4E21,J,4E24,C,,,,,,,,
0394,516A,J,4FDE,C,,,,,,,,,,
0395,516B,J,,,,,,,,,,,,
0396,516C,J,,,,,,,,,,,,
0397,516D,J,,,,,,,,,,,,
0398,516E,J,,,,,,,,,,,,
0399,5171,J,,,,,,,,,,,,
0400,5175,J,,,,,,,,,,,,
0401,5176,J,,,,,,,,,,,,
0402,5177,J,5177,C,,,,,,,,,,
0403,5178,J,,,,,,,,,,,,
0404,517C,K,517C,J,,,,,,,,,,
0405,5180,J,517E,J,,,,,,,,,,
0406,5182,J,518B,J,,,,,,,,,,
0407,5189,J,5184,J,5189,K,,,,,,,,
0408,518C,J,518A,J,,,,,,,,,,
0409,518D,J,,,,,,,,,,,,
0410,518F,J,56E7,J,,,,,,,,,,
0411,5191,J,,,,,,,,,,,,
0412,5192,J,5190,J,,,,,,,,,,
0413,5193,J,,,,,,,,,,,,
0414,5195,J,,,,,,,,,,,,
0415,5196,J,,,,,,,,,,,,
0416,5197,J,5B82,T,,,,,,,,,,
0417,51A0,J,,,,,,,,,,,,
0418,51A2,J,,,,,,,,,,,,
0419,51A4,J,5BC3,J,,,,,,,,,,
0420,51A5,J,,,,,,,,,,,,
0421,51AA,J,7F83,J,5E42,C,,,,,,,,
0422,51AB,J,,,,,,,,,,,,
0423,51AC,J,,,,,,,,,,,,
0424,51B0,J,6C37,J,,,,,,,,,,
0425,51B1,J,,,,,,,,,,,,
0426,51B2,J,,,,,,,,,,,,
0427,51B4,JU,51B4,T,,,,,,,,,,
0428,51B6,J,,,,,,,,,,,,
0429,51B7,J,,,,,,,,,,,,
0430,51BC,CU,,,,,,,,,,,,
0431,51BD,J,,,,,,,,,,,,
0432,51C4,J,,,,,,,,,,,,
0433,51C5,J,,,,,,,,,,,,
0434,51C6,J,,,,,,,,,,,,
0435,51CB,J,,,,,,,,,,,,
0436,51CC,J,,,,,,,,,,,,
0437,51CD,J,51BB,C,,,,,,,,,,
0438,51DC,J,51DB,C,,,,,,,,,,
0439,51DD,J,,,,,,,,,,,,
0440,51DE,KU,,,,,,,,,,,,
0441,51E0,J,,,,,,,,,,,,
0442,51E1,J,,,,,,,,,,,,
0443,51E7,JU,,,,,,,,,,,,
0444,51E9,JU,,,,,,,,,,,,
0445,51EA,JU,,,,,,,,,,,,
0446,51ED,J,,,,,,,,,,,,
0447,51F0,J,,,,,,,,,,,,
0448,51F1,J,51EF,C,,,,,,,,,,
0449,51F3,C,,,,,,,,,,,,
0450,51F5,J,,,,,,,,,,,,
0451,51F6,J,,,,,,,,,,,,
0452,51F8,J,,,,,,,,,,,,
0453,51F9,J,,,,,,,,,,,,
0454,51FA,J,,,,,,,,,,,,
0455,51FC,CU,,,,,,,,,,,,
0456,51FD,J,51FE,J,,,,,,,,,,
0457,5200,J,,,,,,,,,,,,
0458,5201,C,,,,,,,,,,,,
0459,5202,J,,,,,,,,,,,,
0460,5203,T,5204,J,5203,C,5203,J,,,,,,
0461,5206,J,,,,,,,,,,,,
0462,5207,J,,,,,,,,,,,,
0463,5208,J,82C5,J,,,,,,,,,,
0464,520A,J,,,,,,,,,,,,
0465,520E,J,,,,,,,,,,,,
0466,5211,J,,,,,,,,,,,,
0467,5216,J,,,,,,,,,,,,
0468,5217,J,,,,,,,,,,,,
0469,521D,J,,,,,,,,,,,,
0470,5224,K,5224,J,,,,,,,,,,
0471,5225,J,522B,C,,,,,,,,,,
0472,5228,C,,,,,,,,,,,,
0473,5229,J,,,,,,,,,,,,
0474,522A,J,5220,C,,,,,,,,,,
0475,522E,J,,,,,,,,,,,,
0476,5230,J,,,,,,,,,,,,
0477,5231,J,524F,J,5259,T,,,,,,,,
0478,5233,J,,,,,,,,,,,,
0479,5236,J,,,,,,,,,,,,
0480,5237,J,,,,,,,,,,,,
0481,5238,K,5238,J,,,,,,,,,,
0482,5239,J,524E,T,,,,,,,,,,
0483,523A,J,,,,,,,,,,,,
0484,523B,J,,,,,,,,,,,,
0485,5241,C,,,,,,,,,,,,
0486,5243,J,9B00,J,,,,,,,,,,
0487,5244,J,522D,C,,,,,,,,,,
0488,5247,J,5219,C,,,,,,,,,,
0489,524A,K,524A,J,,,,,,,,,,
0490,524B,J,5C05,J,,,,,,,,,,
0491,524C,J,,,,,,,,,,,,
0492,524D,J,,,,,,,,,,,,
0493,5254,J,,,,,,,,,,,,
0494,5256,J,,,,,,,,,,,,
0495,525B,J,521A,C,,,,,,,,,,
0496,525C,C,,,,,,,,,,,,
0497,525D,T,5265,J,,,,,,,,,,
0498,525E,J,,,,,,,,,,,,
0499,5261,J,,,,,,,,,,,,
0500,5269,J,5270,J,,,,,,,,,,
0501,526A,J,,,,,,,,,,,,
0502,526E,J,5250,C,526E,C,,,,,,,,
0503,526F,J,,,,,,,,,,,,
0504,5272,C,5272,J,,,,,,,,,,
0505,5273,T,5273,J,672D,C,,,,,,,,
0506,5274,J,5240,C,,,,,,,,,,
0507,5275,J,521B,C,6227,J,5205,J,,,,,,
0508,5277,TU,,,,,,,,,,,,
0509,527D,J,,,,,,,,,,,,
0510,527F,J,52E6,J,,,,,,,,,,
0511,5281,CU,,,,,,,,,,,,
0512,5282,J,,,,,,,,,,,,
0513,5283,J,5212,C,,,,,,,,,,
0514,5287,J,5267,C,,,,,,,,,,
0515,5288,J,,,,,,,,,,,,
0516,5289,J,5218,C,,,,,,,,,,
0517,528A,J,523D,C,,,,,,,,,,
0518,528C,J,523F,C,,,,,,,,,,
0519,528D,J,5271,J,528E,T,5251,C,5292,J,5294,J,5263,J
0520,5290,CU,,,,,,,,,,,,
0521,5291,J,5264,J,5242,C,,,,,,,,
0522,5293,J,,,,,,,,,,,,
0523,529B,J,,,,,,,,,,,,
0524,529F,J,,,,,,,,,,,,
0525,52A0,J,,,,,,,,,,,,
0526,52A3,J,,,,,,,,,,,,
0527,52A4,KU,,,,,,,,,,,,
0528,52A9,J,,,,,,,,,,,,
0529,52AA,J,,,,,,,,,,,,
0530,52AB,J,5227,J,5226,T,,,,,,,,
0531,52AC,J,,,,,,,,,,,,
0532,52AD,J,5372,J,,,,,,,,,,
0533,52BC,J,,,,,,,,,,,,
0534,52BE,J,,,,,,,,,,,,
0535,52C1,J,52B2,C,,,,,,,,,,
0536,52C3,J,,,,,,,,,,,,
0537,52C5,J,6555,J,,,,,,,,,,
0538,52C7,J,607F,J,,,,,,,,,,
0539,52C9,T,52C9,J,,,,,,,,,,
0540,52CD,J,,,,,,,,,,,,
0541,52D0,CU,,,,,,,,,,,,
0542,52D2,J,,,,,,,,,,,,
0543,52D5,J,52A8,C,,,,,,,,,,
0544,52D6,J,52D7,J,,,,,,,,,,
0545,52D8,J,,,,,,,,,,,,
0546,52D9,J,52A1,C,,,,,,,,,,
0547,52DD,J,80DC,C,,,,,,,,,,
0548,52DE,J,52B3,C,52B4,J,,,,,,,,
0549,52DF,T,52DF,J,,,,,,,,,,
0550,52E0,J,,,,,,,,,,,,
0551,52E2,J,52BF,C,,,,,,,,,,
0552,52E3,J,,,,,,,,,,,,
0553,52E4,T,52E4,J,,,,,,,,,,
0554,52E6,J,,,,,,,,,,,,
0555,52F0,J,,,,,,,,,,,,
0556,52F1,T,52A2,C,52F1,J,,,,,,,,
0557,52F3,J,52CB,C,52DB,J,52F2,J,,,,,,
0558,52F5,J,52B1,J,,,,,,,,,,
0559,52F8,J,529D,C,52E7,J,,,,,,,,
0560,52F9,J,,,,,,,,,,,,
0561,52FA,K,52FA,J,,,,,,,,,,
0562,52FB,K,5300,C,,,,,,,,,,
0563,52FE,J,,,,,,,,,,,,
0564,52FF,J,,,,,,,,,,,,
0565,5301,JU,,,,,,,,,,,,
0566,5302,JU,,,,,,,,,,,,
0567,5305,T,5305,J,,,,,,,,,,
0568,5306,J,56F1,J,,,,,,,,,,
0569,5308,J,,,,,,,,,,,,
0570,530D,J,,,,,,,,,,,,
0571,530F,J,,,,,,,,,,,,
0572,5310,J,,,,,,,,,,,,
0573,5315,J,,,,,,,,,,,,
0574,5316,C,5316,J,,,,,,,,,,
0575,5317,J,,,,,,,,,,,,
0576,5319,J,,,,,,,,,,,,
0577,531A,J,,,,,,,,,,,,
0578,531D,J,5E00,J,,,,,,,,,,
0579,5320,J,,,,,,,,,,,,
0580,5321,J,,,,,,,,,,,,
0581,5323,J,,,,,,,,,,,,
0582,5326,CU,532D,C,,,,,,,,,,
0583,532A,J,,,,,,,,,,,,
0584,532F,J,6C47,C,6ED9,T,,,,,,,,
0585,5331,J,532E,C,,,,,,,,,,
0586,5333,J,5332,J,,,,,,,,,,
0587,5338,J,,,,,,,,,,,,
0588,5339,J,,,,,,,,,,,,
0589,533E,J,533E,C,,,,,,,,,,
