連番,代表字形,別字形1,,別字形2,,別字形3,,別字形4,,別字形5,,別字形6,
4654,7AF0,JU,,,,,,,,,,,,
4655,7AF6,J,7ADE,C,7AF8,J,,,,,,,,
4656,7AF9,J,,,,,,,,,,,,
4657,7AFA,J,,,,,,,,,,,,
4658,7AFD,J,,,,,,,,,,,,
4659,7AFF,J,,,,,,,,,,,,
4660,7B02,JU,,,,,,,,,,,,
4661,7B04,J,7B53,T,,,,,,,,,,
4662,7B06,J,,,,,,,,,,,,
4663,7B08,T,7B08,J,,,,,,,,,,
4664,7B0A,J,,,,,,,,,,,,
4665,7B0F,J,,,,,,,,,,,,
4666,7B11,J,,,,,,,,,,,,
4667,7B18,J,,,,,,,,,,,,
4668,7B19,J,,,,,,,,,,,,
4669,7B1B,J,,,,,,,,,,,,
4670,7B1E,J,,,,,,,,,,,,
4671,7B20,J,,,,,,,,,,,,
4672,7B24,CU,,,,,,,,,,,,
4673,7B25,J,,,,,,,,,,,,
4674,7B26,J,,,,,,,,,,,,
4675,7B28,J,,,,,,,,,,,,
4676,7B2A,CU,,,,,,,,,,,,
4677,7B2B,J,,,,,,,,,,,,
4678,7B2C,J,,,,,,,,,,,,
4679,7B2D,J,,,,,,,,,,,,
4680,7B2E,J,,,,,,,,,,,,
4681,7B31,J,,,,,,,,,,,,
4682,7B33,J,,,,,,,,,,,,
4683,7B38,CU,,,,,,,,,,,,
4684,7B39,JU,,,,,,,,,,,,
4685,7B45,J,,,,,,,,,,,,
4686,7B46,J,7B14,C,,,,,,,,,,
4687,7B47,J,7B3B,T,,,,,,,,,,
4688,7B48,J,,,,,,,,,,,,
4689,7B49,J,,,,,,,,,,,,
4690,7B4B,J,,,,,,,,,,,,
4691,7B4C,J,,,,,,,,,,,,
4692,7B4D,J,7B0B,J,,,,,,,,,,
4693,7B4F,J,6830,J,,,,,,,,,,
4694,7B50,J,,,,,,,,,,,,
4695,7B51,T,7B51,J,,,,,,,,,,
4696,7B52,J,,,,,,,,,,,,
4697,7B54,J,,,,,,,,,,,,
4698,7B56,J,,,,,,,,,,,,
4699,7B58,CU,,,,,,,,,,,,
4700,7B60,J,,,,,,,,,,,,
4701,7B62,CU,,,,,,,,,,,,
4702,7B65,J,,,,,,,,,,,,
4703,7B67,J,7B15,C,,,,,,,,,,
4704,7B6C,J,,,,,,,,,,,,
4705,7B6E,J,,,,,,,,,,,,
4706,7B70,J,,,,,,,,,,,,
4707,7B71,J,,,,,,,,,,,,
4708,7B72,J,7B72,C,,,,,,,,,,
4709,7B74,JU,,,,,,,,,,,,
4710,7B75,J,,,,,,,,,,,,
4711,7B77,J,,,,,,,,,,,,
4712,7B7B,CU,,,,,,,,,,,,
4713,7B7D,KU,,,,,,,,,,,,
4714,7B84,TU,,,,,,,,,,,,
4715,7B85,CU,,,,,,,,,,,,
4716,7B87,J,,,,,,,,,,,,
4717,7B8B,J,7B3A,C,724B,J,,,,,,,,
4718,7B8D,J,,,,,,,,,,,,
4719,7B8F,J,7B5D,C,,,,,,,,,,
4720,7B90,CU,,,,,,,,,,,,
4721,7B92,JU,,,,,,,,,,,,
4722,7B94,J,,,,,,,,,,,,
4723,7B95,J,,,,,,,,,,,,
4724,7B97,J,,,,,,,,,,,,
4725,7B98,JU,7B9F,J,,,,,,,,,,
4726,7B99,JU,,,,,,,,,,,,
4727,7B9A,J,5284,T,672D,C,,,,,,,,
4728,7B9A,J,672D,C,5284,T,,,,,,,,
4729,7B9C,J,,,,,,,,,,,,
4730,7B9D,J,7BCF,J,,,,,,,,,,
4731,7BA0,J,7BA0,T,,,,,,,,,,
4732,7BA1,J,,,,,,,,,,,,
4733,7BA2,CU,,,,,,,,,,,,
4734,7BAC,T,7BAC,C,7BDB,T,7BDB,J,,,,,,
4735,7BAD,K,7BAD,J,,,,,,,,,,
4736,7BB1,J,,,,,,,,,,,,
4737,7BB4,J,,,,,,,,,,,,
4738,7BB8,K,7BB8,J,,,,,,,,,,
4739,7BC0,K,7BC0,J,8282,C,,,,,,,,
4740,7BC1,J,,,,,,,,,,,,
4741,7BC4,J,7B35,J,8303,C,,,,,,,,
4742,7BC6,J,,,,,,,,,,,,
4743,7BC7,T,7BC7,C,7BC7,J,,,,,,,,
4744,7BC9,J,7BC9,T,7B51,C,,,,,,,,
4745,7BCB,J,7BA7,C,,,,,,,,,,
4746,7BCC,J,,,,,,,,,,,,
4747,7BD2,KU,,,,,,,,,,,,
4748,7BD9,J,,,,,,,,,,,,
4749,7BDA,J,,,,,,,,,,,,
4750,7BDD,K,7BDD,J,,,,,,,,,,
4751,7BE0,J,7BE0,T,,,,,,,,,,
4752,7BE1,T,7C12,J,,,,,,,,,,
4753,7BE4,J,7B03,C,,,,,,,,,,
4754,7BE5,J,,,,,,,,,,,,
4755,7BE6,J,7BE6,C,7B86,J,,,,,,,,
4756,7BE9,J,7B5B,C,7C6D,J,,,,,,,,
4757,7BEA,J,7BEA,C,7B8E,J,,,,,,,,
4758,7BF3,J,7B5A,C,,,,,,,,,,
4759,7BF6,JU,,,,,,,,,,,,
4760,7BF7,J,,,,,,,,,,,,
4761,7BFC,CU,,,,,,,,,,,,
4762,7BFE,K,7BFE,J,,,,,,,,,,
4763,7C00,J,7BA6,C,,,,,,,,,,
4764,7C01,J,,,,,,,,,,,,
4765,7C07,J,,,,,,,,,,,,
4766,7C0B,J,7C0B,C,,,,,,,,,,
4767,7C0C,J,,,,,,,,,,,,
4768,7C0D,J,7BD3,C,,,,,,,,,,
4769,7C0E,J,,,,,,,,,,,,
4770,7C0F,J,7C0F,C,,,,,,,,,,
4771,7C13,JU,,,,,,,,,,,,
4772,7C16,CU,7C6A,C,,,,,,,,,,
4773,7C17,JU,,,,,,,,,,,,
4774,7C1E,T,7BAA,C,,,,,,,,,,
4775,7C1F,J,,,,,,,,,,,,
4776,7C21,J,7B80,C,,,,,,,,,,
4777,7C23,J,7BD1,C,,,,,,,,,,
4778,7C26,J,,,,,,,,,,,,
4779,7C27,J,7C27,C,7C27,T,,,,,,,,
4780,7C2A,J,,,,,,,,,,,,
4781,7C2B,J,7BAB,C,,,,,,,,,,
4782,7C33,J,,,,,,,,,,,,
4783,7C37,J,,,,,,,,,,,,
4784,7C38,J,,,,,,,,,,,,
4785,7C3D,J,7B7E,C,,,,,,,,,,
4786,7C3E,K,7C3E,J,,,,,,,,,,
4787,7C3F,T,7C3F,J,,,,,,,,,,
4788,7C43,J,7C43,C,7BEE,C,,,,,,,,
4789,7C4C,J,7B79,C,,,,,,,,,,
4790,7C4D,K,7C4D,J,,,,,,,,,,
4791,7C4F,JU,,,,,,,,,,,,
4792,7C50,J,7C58,J,,,,,,,,,,
4793,7C52,J,7C40,J,,,,,,,,,,
4794,7C54,J,,,,,,,,,,,,
4795,7C5C,J,7BA8,C,,,,,,,,,,
4796,7C5F,J,7C5F,C,7C41,C,,,,,,,,
4797,7C60,J,7C60,T,7B3C,C,7BED,J,,,,,,
4798,7C63,J,,,,,,,,,,,,
4799,7C64,J,7C56,J,7B7E,C,,,,,,,,
4800,7C65,J,,,,,,,,,,,,
4801,7C69,J,7C69,C,7B3E,C,,,,,,,,
4802,7C6C,J,7BF1,C,,,,,,,,,,
4803,7C6E,J,7BA9,C,,,,,,,,,,
4804,7C72,J,5401,C,9FA5,J,,,,,,,,
4805,7C73,J,7C73,T,,,,,,,,,,
4806,7C75,JU,,,,,,,,,,,,
4807,7C7D,J,,,,,,,,,,,,
4808,7C7E,JU,,,,,,,,,,,,
4809,7C81,JU,,,,,,,,,,,,
4810,7C82,JU,,,,,,,,,,,,
4811,7C83,J,,,,,,,,,,,,
4812,7C89,J,,,,,,,,,,,,
4813,7C8D,JU,,,,,,,,,,,,
4814,7C8F,JU,,,,,,,,,,,,
4815,7C91,CU,,,,,,,,,,,,
4816,7C92,J,,,,,,,,,,,,
4817,7C95,J,,,,,,,,,,,,
4818,7C97,J,,,,,,,,,,,,
4819,7C98,J,9ECF,J,,,,,,,,,,
4820,7C9E,J,,,,,,,,,,,,
4821,7C9F,J,,,,,,,,,,,,
4822,7CA1,J,,,,,,,,,,,,
4823,7CA2,J,,,,,,,,,,,,
4824,7CA4,J,,,,,,,,,,,,
4825,7CA5,J,,,,,,,,,,,,
4826,7CA7,J,,,,,,,,,,,,
4827,7CA8,JU,,,,,,,,,,,,
4828,7CAD,JU,,,,,,,,,,,,
4829,7CB1,J,,,,,,,,,,,,
4830,7CB2,J,,,,,,,,,,,,
4831,7CB3,J,7A09,J,,,,,,,,,,
4832,7CB5,TU,,,,,,,,,,,,
4833,7CB9,J,7C8B,J,,,,,,,,,,
4834,7CBC,J,,,,,,,,,,,,
4835,7CBE,K,7CBE,J,,,,,,,,,,
4836,7CC0,JU,,,,,,,,,,,,
4837,7CC2,J,,,,,,,,,,,,
4838,7CC5,J,,,,,,,,,,,,
4839,7CC7,J,,,,,,,,,,,,
4840,7CC8,J,,,,,,,,,,,,
4841,7CC9,J,7CBD,J,,,,,,,,,,
4842,7CCA,J,,,,,,,,,,,,
4843,7CCC,CU,,,,,,,,,,,,
4844,7CCD,CU,,,,,,,,,,,,
4845,7CCE,JU,,,,,,,,,,,,
4846,7CD2,J,,,,,,,,,,,,
4847,7CD5,C,,,,,,,,,,,,
4848,7CD6,J,7CDB,T,91A3,C,,,,,,,,
4849,7CD7,J,,,,,,,,,,,,
4850,7CD8,JU,,,,,,,,,,,,
4851,7CD9,J,7CD9,C,,,,,,,,,,
4852,7CDC,J,7CDC,C,,,,,,,,,,
4853,7CDD,J,7CC1,C,,,,,,,,,,
4854,7CDE,J,7CAA,C,,,,,,,,,,
4855,7CDF,J,,,,,,,,,,,,
4856,7CE0,J,7C87,J,,,,,,,,,,
4857,7CE7,J,7CAE,J,,,,,,,,,,
4858,7CE8,CU,,,,,,,,,,,,
4859,7CEF,J,7A2C,T,7A64,T,,,,,,,,
4860,7CF0,T,56E2,C,,,,,,,,,,
4861,7CF2,J,7C9D,C,,,,,,,,,,
4862,7CF4,J,7C74,C,,,,,,,,,,
4863,7CF6,J,7C9C,C,,,,,,,,,,
4864,7CFA,J,,,,,,,,,,,,
4865,7CFB,J,,,,,,,,,,,,
4866,7CFE,K,7EA0,C,,,,,,,,,,
4867,7D00,J,7EAA,C,,,,,,,,,,
4868,7D02,J,7EA3,C,,,,,,,,,,
4869,7D04,J,7EA6,C,,,,,,,,,,
4870,7D05,J,7EA2,C,,,,,,,,,,
4871,7D06,J,7EA1,C,,,,,,,,,,
4872,7D07,J,7EA5,C,,,,,,,,,,
4873,7D08,J,7EA8,C,,,,,,,,,,
4874,7D09,J,7EAB,C,,,,,,,,,,
4875,7D0A,J,,,,,,,,,,,,
4876,7D0B,J,7EB9,C,,,,,,,,,,
4877,7D0D,J,7D0D,T,7EB3,C,,,,,,,,
4878,7D10,J,7EBD,C,,,,,,,,,,
4879,7D13,J,7EBE,C,,,,,,,,,,
4880,7D14,J,7EAF,C,,,,,,,,,,
4881,7D15,J,7D15,T,7EB0,C,,,,,,,,
4882,7D17,J,7EB1,C,,,,,,,,,,
4883,7D18,J,,,,,,,,,,,,
4884,7D19,J,7EB8,C,5E0B,J,,,,,,,,
4885,7D1A,J,7D1A,T,7EA7,C,,,,,,,,
4886,7D1B,J,7EB7,C,,,,,,,,,,
4887,7D1C,J,7EAD,C,,,,,,,,,,
4888,7D20,J,,,,,,,,,,,,
4889,7D21,J,7EBA,C,,,,,,,,,,
4890,7D22,J,,,,,,,,,,,,
4891,7D2B,J,,,,,,,,,,,,
4892,7D2C,J,,,,,,,,,,,,
4893,7D2E,J,7D25,T,,,,,,,,,,
4894,7D2F,J,7E8D,J,,,,,,,,,,
4895,7D30,J,7EC6,C,,,,,,,,,,
4896,7D31,J,7D31,C,7EC2,C,,,,,,,,
4897,7D32,J,7EC1,C,,,,,,,,,,
4898,7D33,J,7EC5,C,,,,,,,,,,
4899,7D35,J,7EBB,C,,,,,,,,,,
4900,7D39,J,7ECD,C,,,,,,,,,,
4901,7D3A,J,7EC0,C,,,,,,,,,,
4902,7D3C,J,7ECB,C,,,,,,,,,,
4903,7D3F,J,7ED0,C,,,,,,,,,,
4904,7D40,J,7ECC,C,,,,,,,,,,
4905,7D42,K,7EC8,C,7D42,J,,,,,,,,
4906,7D43,J,,,,,,,,,,,,
4907,7D44,J,7EC4,C,,,,,,,,,,
4908,7D45,J,,,,,,,,,,,,
4909,7D46,J,7D46,T,7ECA,C,,,,,,,,
4910,7D4E,J,7ED7,C,,,,,,,,,,
4911,7D4F,J,,,,,,,,,,,,
4912,7D50,J,7ED3,C,,,,,,,,,,
4913,7D55,T,7D76,J,7EDD,C,,,,,,,,
4914,7D56,J,,,,,,,,,,,,
4915,7D5B,J,7E27,J,7EE6,C,,,,,,,,
4916,7D5C,J,,,,,,,,,,,,
4917,7D5D,J,7ED4,C,,,,,,,,,,
4918,7D5E,J,7EDE,C,,,,,,,,,,
4919,7D61,J,7EDC,C,,,,,,,,,,
4920,7D62,J,7EDA,C,,,,,,,,,,
4921,7D63,J,7D63,K,,,,,,,,,,
4922,7D66,J,7ED9,C,,,,,,,,,,
4923,7D68,J,7ED2,C,,,,,,,,,,
4924,7D6A,J,,,,,,,,,,,,
4925,7D6E,J,,,,,,,,,,,,
4926,7D70,J,,,,,,,,,,,,
4927,7D71,J,7D71,T,7D82,J,7EDF,C,,,,,,
4928,7D72,J,7E9F,C,7CF9,C,7CF8,J,4E1D,C,,,,
4929,7D73,J,7EDB,C,,,,,,,,,,
4930,7D79,J,7D79,T,7EE2,C,,,,,,,,
4931,7D7D,J,,,,,,,,,,,,
4932,7D7F,KU,,,,,,,,,,,,
4933,7D81,T,7ED1,C,,,,,,,,,,
4934,7D83,J,7EE1,C,,,,,,,,,,
4935,7D86,J,7EE0,C,,,,,,,,,,
4936,7D88,J,7EE8,C,,,,,,,,,,
4937,7D89,J,7EE3,C,,,,,,,,,,
4938,7D8E,KU,,,,,,,,,,,,
4939,7D8F,J,7D8F,T,7EE5,C,,,,,,,,
4940,7D91,TU,,,,,,,,,,,,
4941,7D93,J,7D4C,J,7ECF,C,,,,,,,,
4942,7D9B,JU,,,,,,,,,,,,
4943,7D9C,J,7EFC,C,,,,,,,,,,
4944,7D9E,T,7F0D,C,,,,,,,,,,
4945,7D9F,T,7D9F,J,,,,,,,,,,
4946,7DA0,K,7DD1,J,7EFF,C,,,,,,,,
4947,7DA2,J,7DA2,T,7EF8,C,,,,,,,,
4948,7DA3,J,7EFB,C,,,,,,,,,,
4949,7DA6,J,,,,,,,,,,,,
4950,7DAC,J,7EF6,C,,,,,,,,,,
4951,7DAD,J,7EF4,C,,,,,,,,,,
4952,7DAE,T,7DAE,J,7DAE,C,,,,,,,,
4953,7DAF,J,7EF9,C,,,,,,,,,,
4954,7DB0,J,7EFE,C,,,,,,,,,,
4955,7DB1,J,7EB2,C,,,,,,,,,,
4956,7DB2,J,7F51,C,,,,,,,,,,
4957,7DB4,J,7F00,C,,,,,,,,,,
4958,7DB5,J,7DB5,T,,,,,,,,,,
4959,7DB8,J,7EB6,C,,,,,,,,,,
4960,7DBA,J,7EEE,C,,,,,,,,,,
4961,7DBB,J,7EFD,C,,,,,,,,,,
4962,7DBD,J,7EF0,C,,,,,,,,,,
4963,7DBE,J,7EEB,C,,,,,,,,,,
4964,7DBF,J,7DDC,J,7EF5,C,,,,,,,,
4965,7DC4,J,7EF2,C,,,,,,,,,,
4966,7DC7,J,7F01,C,,,,,,,,,,
4967,7DCA,J,7D27,C,,,,,,,,,,
4968,7DCB,J,7EEF,C,,,,,,,,,,
4969,7DCC,J,,,,,,,,,,,,
4970,7DD6,K,7DD2,J,7EEA,C,,,,,,,,
4971,7DD7,J,7F03,C,,,,,,,,,,
4972,7DD8,J,7F04,C,,,,,,,,,,
4973,7DD9,T,7F02,C,,,,,,,,,,
4974,7DDA,J,7DAB,J,7EBF,C,,,,,,,,
4975,7DDD,J,7F09,C,,,,,,,,,,
4976,7DDE,J,7F0E,C,,,,,,,,,,
4977,7DE0,J,7F14,C,,,,,,,,,,
4978,7DE1,J,7DCD,J,7F17,C,,,,,,,,
4979,7DE3,K,7E01,J,7F18,C,,,,,,,,
4980,7DE4,J,7EC1,C,,,,,,,,,,
4981,7DE6,J,7F0C,C,,,,,,,,,,
4982,7DE8,K,7DE8,J,7F16,C,,,,,,,,
4983,7DE9,K,7F13,C,7DE9,J,,,,,,,,
4984,7DEC,J,7F05,C,,,,,,,,,,
4985,7DEF,T,7DEF,J,7EAC,C,,,,,,,,
4986,7DF1,J,7F11,C,,,,,,,,,,
4987,7DF2,J,7F08,C,,,,,,,,,,
4988,7DF4,K,7DF4,J,7EC3,C,,,,,,,,
4989,7DF9,J,7F07,C,,,,,,,,,,
4990,7DFB,J,81F4,C,,,,,,,,,,
4991,7E05,JU,,,,,,,,,,,,
4992,7E08,J,8426,C,,,,,,,,,,
4993,7E09,J,7F19,C,,,,,,,,,,
4994,7E0A,J,7E0A,T,7F22,C,,,,,,,,
4995,7E0B,J,7F12,C,,,,,,,,,,
4996,7E10,J,7EC9,C,,,,,,,,,,
4997,7E11,J,7E11,T,7F23,C,,,,,,,,
4998,7E12,J,,,,,,,,,,,,
4999,7E15,J,,,,,,,,,,,,
5000,7E1B,K,7E1B,J,7F1A,C,,,,,,,,
5001,7E1D,J,7E1D,T,7F1C,C,,,,,,,,
5002,7E1E,J,7F1F,C,,,,,,,,,,
5003,7E1F,J,7F1B,C,,,,,,,,,,
5004,7E21,J,,,,,,,,,,,,
5005,7E22,J,,,,,,,,,,,,
5006,7E23,J,770C,J,53BF,C,,,,,,,,
5007,7E2B,K,7E2B,J,7E2B,C,7F1D,C,,,,,,
5008,7E2D,J,7F21,C,,,,,,,,,,
5009,7E2E,J,7F29,C,,,,,,,,,,
5010,7E2F,K,,,,,,,,,,,,
5011,7E31,J,7E26,J,7EB5,C,,,,,,,,
5012,7E32,J,7E9D,J,7F27,C,,,,,,,,
5013,7E34,T,7EA4,C,,,,,,,,,,
5014,7E35,J,7F26,C,,,,,,,,,,
5015,7E36,J,7D77,C,,,,,,,,,,
5016,7E37,J,7F15,C,,,,,,,,,,
5017,7E39,J,7F25,C,,,,,,,,,,
5018,7E3A,J,,,,,,,,,,,,
5019,7E3B,J,7E3B,C,,,,,,,,,,
5020,7E3D,J,7E3D,T,7DCF,J,7DEB,J,603B,C,,,,
5021,7E3E,J,7EE9,C,,,,,,,,,,
5022,7E3F,TU,,,,,,,,,,,,
5023,7E41,K,7E41,J,,,,,,,,,,
5024,7E43,J,,,,,,,,,,,,
5025,7E45,J,7F2B,C,,,,,,,,,,
5026,7E46,J,7E46,T,7F2A,C,,,,,,,,
5027,7E47,J,7E47,C,,,,,,,,,,
5028,7E48,T,7E66,J,,,,,,,,,,
5029,7E52,J,7E52,T,7F2F,C,,,,,,,,
5030,7E54,J,7EC7,C,,,,,,,,,,
5031,7E55,J,7F2E,C,,,,,,,,,,
5032,7E56,J,,,,,,,,,,,,
5033,7E59,J,,,,,,,,,,,,
5034,7E5A,J,7F2D,C,,,,,,,,,,
5035,7E5D,J,,,,,,,,,,,,
5036,7E5E,J,7ED5,C,,,,,,,,,,
5037,7E61,J,7E4D,J,7EE3,C,,,,,,,,
5038,7E62,J,7F0B,C,,,,,,,,,,
5039,7E67,JU,,,,,,,,,,,,
5040,7E69,J,7E69,T,7E04,J,7EF3,C,,,,,,
5041,7E6A,J,7D75,J,7ED8,C,,,,,,,,
5042,7E6B,J,7E4B,J,7CFB,C,,,,,,,,
5043,7E6D,T,7E6D,J,7D78,J,8327,C,8812,J,,,,
5044,7E6F,J,7F33,C,,,,,,,,,,
5045,7E70,J,7F32,C,,,,,,,,,,
5046,7E73,J,7F34,C,,,,,,,,,,
5047,7E79,J,7ECE,C,,,,,,,,,,
5048,7E7B,J,,,,,,,,,,,,
5049,7E7C,J,7D99,J,7EE7,C,,,,,,,,
5050,7E7D,J,7F24,C,,,,,,,,,,
5051,7E7E,J,7F31,C,,,,,,,,,,
5052,7E82,J,,,,,,,,,,,,
5053,7E83,JU,7DD5,J,,,,,,,,,,
