連番,代表字形,別字形1,,別字形2,,別字形3,,別字形4,,別字形5,,別字形6,
4500,7946,J,7946,C,,,,,,,,,,
4501,7947,K,7947,T,,,,,,,,,,
4502,7948,K,7948,J,,,,,,,,,,
4503,7949,K,7949,J,,,,,,,,,,
4504,7950,K,7950,J,,,,,,,,,,
4505,7953,J,7953,C,,,,,,,,,,
4506,7955,J,7955,T,79D8,J,,,,,,,,
4507,7956,K,7956,J,,,,,,,,,,
4508,7957,J,7957,C,7957,T,,,,,,,,
4509,795A,J,795A,C,,,,,,,,,,
4510,795B,J,795B,C,,,,,,,,,,
4511,795C,J,795C,C,,,,,,,,,,
4512,795D,K,795D,J,,,,,,,,,,
4513,795E,K,795E,J,,,,,,,,,,
4514,795F,J,,,,,,,,,,,,
4515,7960,J,7960,C,,,,,,,,,,
4516,7965,K,7965,J,,,,,,,,,,
4517,7967,J,7967,C,,,,,,,,,,
4518,7968,J,,,,,,,,,,,,
4519,796D,J,796D,T,,,,,,,,,,
4520,797A,J,797A,C,,,,,,,,,,
4521,797F,J,797F,T,7984,J,,,,,,,,
4522,7981,J,,,,,,,,,,,,
4523,798A,J,798A,C,,,,,,,,,,
4524,798D,K,798D,J,7978,C,798D,C,65E4,T,,,,
4525,798E,K,798E,J,796F,C,,,,,,,,
4526,798F,K,798F,J,,,,,,,,,,
4527,7991,KU,,,,,,,,,,,,
4528,799A,CU,,,,,,,,,,,,
4529,79A6,J,79A6,T,5FA1,C,,,,,,,,
4530,79A7,J,79A7,C,,,,,,,,,,
4531,79AA,J,79AA,T,7985,J,7985,C,,,,,,
4532,79AE,J,79AE,T,793C,J,,,,,,,,
4533,79B0,K,7962,C,7962,J,7962,K,79B0,J,,,,
4534,79B1,J,79B1,T,7977,J,,,,,,,,
4535,79B3,J,79B3,C,,,,,,,,,,
4536,79B8,J,79B8,T,,,,,,,,,,
4537,79B9,J,,,,,,,,,,,,
4538,79BA,J,,,,,,,,,,,,
4539,79BD,J,79BD,T,,,,,,,,,,
4540,79BE,J,,,,,,,,,,,,
4541,79BF,J,79C3,C,,,,,,,,,,
4542,79C0,J,,,,,,,,,,,,
4543,79C1,J,,,,,,,,,,,,
4544,79C8,J,,,,,,,,,,,,
4545,79C9,J,,,,,,,,,,,,
4546,79CB,J,79CC,T,7A50,J,,,,,,,,
4547,79D1,J,,,,,,,,,,,,
4548,79D2,J,,,,,,,,,,,,
4549,79D5,J,79D5,C,,,,,,,,,,
4550,79DF,J,,,,,,,,,,,,
4551,79E3,J,,,,,,,,,,,,
4552,79E4,K,79E4,C,,,,,,,,,,
4553,79E6,J,,,,,,,,,,,,
4554,79E7,J,,,,,,,,,,,,
4555,79E9,J,,,,,,,,,,,,
4556,79EB,J,79EB,C,,,,,,,,,,
4557,79EC,J,,,,,,,,,,,,
4558,79ED,J,,,,,,,,,,,,
4559,79F8,J,,,,,,,,,,,,
4560,79FB,J,,,,,,,,,,,,
4561,7A00,J,,,,,,,,,,,,
4562,7A02,J,,,,,,,,,,,,
4563,7A03,J,7A03,C,,,,,,,,,,
4564,7A05,T,7A0E,J,,,,,,,,,,
4565,7A08,J,79C6,C,,,,,,,,,,
4566,7A0B,T,7A0B,J,,,,,,,,,,
4567,7A0D,J,7A0D,C,7A0D,T,,,,,,,,
4568,7A14,J,,,,,,,,,,,,
4569,7A17,J,,,,,,,,,,,,
4570,7A19,KU,,,,,,,,,,,,
4571,7A1A,J,,,,,,,,,,,,
4572,7A1C,J,,,,,,,,,,,,
4573,7A1E,C,,,,,,,,,,,,
4574,7A1F,J,7980,J,,,,,,,,,,
4575,7A20,J,7A20,C,,,,,,,,,,
4576,7A2E,J,79CD,C,,,,,,,,,,
4577,7A31,K,7A31,J,79F0,J,79F0,C,,,,,,
4578,7A36,KU,,,,,,,,,,,,
4579,7A37,J,7A37,C,,,,,,,,,,
4580,7A39,J,7A39,C,,,,,,,,,,
4581,7A3B,J,7A3B,C,7A32,J,,,,,,,,
4582,7A3C,J,,,,,,,,,,,,
4583,7A3D,J,7A3D,K,,,,,,,,,,
4584,7A3F,J,7A3E,J,,,,,,,,,,
4585,7A40,T,7A40,J,,,,,,,,,,
4586,7A46,J,,,,,,,,,,,,
4587,7A49,J,7A3A,J,,,,,,,,,,
4588,7A4B,TU,,,,,,,,,,,,
4589,7A4C,J,7A23,C,,,,,,,,,,
4590,7A4D,J,79EF,C,,,,,,,,,,
4591,7A4E,J,9896,C,9834,J,,,,,,,,
4592,7A57,J,7A42,J,,,,,,,,,,
4593,7A60,J,79FE,C,,,,,,,,,,
4594,7A61,J,7A51,C,,,,,,,,,,
4595,7A62,J,79FD,C,,,,,,,,,,
4596,7A69,J,7A69,T,7A4F,J,7A33,C,,,,,,
4597,7A6B,T,7A6B,J,,,,,,,,,,
4598,7A6D,J,7A06,C,,,,,,,,,,
4599,7A70,J,7A63,J,,,,,,,,,,
4600,7A74,J,,,,,,,,,,,,
4601,7A76,J,7A76,C,,,,,,,,,,
4602,7A78,CU,,,,,,,,,,,,
4603,7A79,J,7A79,C,,,,,,,,,,
4604,7A7A,J,7A7A,C,,,,,,,,,,
4605,7A7D,J,,,,,,,,,,,,
4606,7A7F,T,7A7F,J,7A7F,C,,,,,,,,
4607,7A80,CU,,,,,,,,,,,,
4608,7A81,T,7A81,J,7A81,C,,,,,,,,
4609,7A84,J,7A84,C,,,,,,,,,,
4610,7A86,J,7A86,C,,,,,,,,,,
4611,7A88,J,7A88,C,,,,,,,,,,
4612,7A92,J,7A92,C,,,,,,,,,,
4613,7A95,J,7A95,C,,,,,,,,,,
4614,7A96,J,7A96,C,,,,,,,,,,
4615,7A97,J,7A97,T,7A97,C,7A93,J,7ABB,J,7255,J,,
4616,7A98,J,7A98,C,,,,,,,,,,
4617,7A9F,J,7A9F,C,,,,,,,,,,
4618,7AA0,J,7AA0,C,,,,,,,,,,
4619,7AA8,CU,,,,,,,,,,,,
4620,7AA9,J,7A9D,C,7AA9,C,,,,,,,,
4621,7AAA,J,6D3C,C,6F25,T,,,,,,,,
4622,7AAC,J,7AAC,C,,,,,,,,,,
4623,7AAE,J,7A77,C,7AC6,J,,,,,,,,
4624,7AAF,J,,,,,,,,,,,,
4625,7AB0,J,7A91,C,,,,,,,,,,
4626,7AB3,J,7AB3,C,,,,,,,,,,
4627,7AB6,J,7AAD,C,,,,,,,,,,
4628,7ABA,J,7AA5,C,,,,,,,,,,
4629,7ABF,J,7ABF,C,,,,,,,,,,
4630,7AC4,J,7AC4,T,7A9C,C,7AC4,C,,,,,,
4631,7AC5,J,7A8D,C,,,,,,,,,,
4632,7AC7,J,7AA6,C,,,,,,,,,,
4633,7AC8,J,7076,J,,,,,,,,,,
4634,7ACA,J,7A83,C,7A83,J,,,,,,,,
4635,7ACB,J,,,,,,,,,,,,
4636,7ACD,JU,,,,,,,,,,,,
4637,7ACF,JU,,,,,,,,,,,,
4638,7AD3,JU,,,,,,,,,,,,
4639,7AD5,JU,,,,,,,,,,,,
4640,7AD7,KU,,,,,,,,,,,,
4641,7AD9,J,,,,,,,,,,,,
4642,7ADA,J,4F2B,C,,,,,,,,,,
4643,7ADD,J,4E26,J,5E76,C,,,,,,,,
4644,7ADF,J,,,,,,,,,,,,
4645,7AE0,J,,,,,,,,,,,,
4646,7AE1,JU,,,,,,,,,,,,
4647,7AE2,JU,,,,,,,,,,,,
4648,7AE3,J,,,,,,,,,,,,
4649,7AE5,J,,,,,,,,,,,,
4650,7AE6,J,,,,,,,,,,,,
4651,7AEA,J,7AD6,C,,,,,,,,,,
4652,7AED,J,,,,,,,,,,,,
4653,7AEF,J,,,,,,,,,,,,
